alpha,accuracy,precision,recall,f1
0.05,0.5146948850399411,0.5428896681353839,0.5814958041966725,0.4830655341041421
0.1,0.5112397981838979,0.5421525395390738,0.5790585166046014,0.4802908804051194
0.15,0.5076980861646117,0.5357911604217005,0.5763078817179191,0.4773250074376831
0.2,0.5027280348299619,0.5356434547228651,0.572794175005155,0.47336341333759596
0.25,0.5016022792938346,0.5372451147000785,0.5720602888773043,0.47271430381555757
0.3,0.49883044810990995,0.5378609384070879,0.5703326670267871,0.4705561036465524
0.35,0.49524573589757975,0.5393330534000228,0.5682957666664505,0.46782340958340274
0.4,0.4833833062758145,0.5325312044498148,0.5587794384996562,0.45583369828082587
0.45,0.47829405670323144,0.5318299666909724,0.554422180084852,0.45056388695725297
0.5,0.4689571959985364,0.5259177556364114,0.547102821465197,0.4407321600398661
0.55,0.45867284005460485,0.5161254810660055,0.5381120760317332,0.4290987562991385
0.6,0.4529854915575866,0.513492379882386,0.5317928301942922,0.42260348463802977
0.65,0.4422468725550755,0.5104975774065716,0.5157889380920159,0.410110042424523
0.7,0.43171229724523813,0.5100276296578703,0.5012378853473878,0.3968033194768924
0.75,0.4233857447593355,0.5135453161629011,0.49258948515347845,0.38741311327794337
0.8,0.4136437227432749,0.44935570945385067,0.4818484909444659,0.3747114668070371
0.85,0.4013221421395451,0.4494765237838719,0.46574313475702034,0.35658585581200886
0.9,0.39256791936577834,0.44549217593790835,0.45230960310666174,0.34123733184465854
0.95,0.39054376821276204,0.4392385550778119,0.4414124644045662,0.3323474289349998
