alpha,accuracy,precision,recall,f1
0.05,0.48006325342454115,0.5139219655940113,0.486271816506032,0.40258298098225476
0.1,0.4804815086281267,0.5128134562630465,0.485880692064491,0.4021061844361891
0.15,0.48022732379650745,0.5128711929763667,0.4855834416049386,0.4019396274498649
0.2,0.48050573170787414,0.5124375711096105,0.48522053346254906,0.40167948798892095
0.25,0.4815680285706364,0.5127629137043775,0.4856473647102685,0.4025184100165107
0.3,0.4818070625064543,0.5126340178511624,0.4855893197259896,0.4020661104225879
0.35,0.4837134457223037,0.5145279217155132,0.4862418689025304,0.40251075151867177
0.4,0.48492706335958824,0.5157934700501041,0.48637029839364726,0.4023588452792417
0.45,0.4835389751912273,0.5158538518380049,0.4849454518747474,0.4004608053691564
0.5,0.4812288133544885,0.5146157569437992,0.48276202310005695,0.39747390184407416
0.55,0.47796696225684626,0.5129969069223334,0.4792986587305476,0.3931270050898488
0.6,0.47486580498548936,0.5116914606622829,0.47640299717109674,0.38927850924410234
0.65,0.4694396149991563,0.4445862742312861,0.47343259912355806,0.38283816075846333
0.7,0.46587463941015406,0.4434657851849003,0.4710847912072499,0.3758456186780912
0.75,0.4611903227257872,0.4494870306926095,0.4599009727017864,0.3576569260122545
0.8,0.46386104964049385,0.453454604543018,0.4583692744666372,0.3543355893131069
0.85,0.46835758669242855,0.45600276540909945,0.45593338699217334,0.34881658242591657
0.9,0.4675265114281696,0.4045800415581632,0.453088222597842,0.3451747453700173
0.95,0.46143988803122193,0.40436086305851965,0.4471036723634178,0.33831415314540114
